PWS_NAME,PWSID,WDCODE,SOURCE,CONNECTIONS,TYPE,AREA,OWNERSHIP,Shape_STAr,Shape_STLe,Basin_count,BasinNo,AB3030,ABTOC,Abmonth,SB1938,SBTOC,Sbmonth,no.irwms,IWRM,MPTOC1,name.irwm1,IRWMorg1,MPTOC2,name.irwmp2,IRWMorg2,MPTOC3,name.irwmp3,IRWMorg3,member
Empire West Side Irrigation District,NA,846,NA,NA,NA,NA,NA,31278596.27,37503.01574,27,5-22.12,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Enterprise Irrigation District,NA,848,NA,NA,NA,NA,NA,15379546.54,23002.97217,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Erskine Creek Groundwater Management Agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5-22.14,0,NA,NA,0,N/A,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Escalon  City Of,3910003,850,Groundwater,2468,Community,Residential Area,Local,4788796.022,19354.76735,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Escondido  City Of,3710006,851,Surface Water,24677,Community,Other Residential Area,Local,84143862.25,76455.53712,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Esparto Community Service District,5710007,852,Groundwater,908,Community,Residential Area,Local,2136905.485,7884.218267,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Estero Municipal Improvement District,4110021,NA,Surface Water Purchased,7930,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Etna  City Of,4710004,858,Surface Water,385,Community,Recreation Area,Local,1954562.89,7527.647733,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Eureka  City Of,1210004,859,Groundwater Purchased,9852,Community,Residential Area,Local,25590597.92,32216.37399,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Exeter  City Of,5410003,863,Groundwater,3258,Community,Residential Area,Local,5904382.684,16656.54211,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Exeter Irrigation District,NA,864,NA,NA,NA,NA,NA,60593174.33,55824.43094,NA,NA,0,NA,NA,0,NA,NA,1,1,8/30/2007,Kaweah ,9,,,NA,,,,NA
Fair Oaks Water District,3410009,866,Surface Water Purchased,27896,Community,Residential Area,Local,26867260.03,28666.01643,NA,NA,0,NA,NA,1,12/11/2008,NA,1,1,7/11/2013,American River Basin IRWMP,21,,,NA,,,,NA
Fairfield  City Of,4810003,867,Surface Water,27235,Community,Residential Area,Local,30966497.51,69528.84159,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fall River Valley Community Service District,4510008,NA,Groundwater,490,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fallbrook Public Utilities District,3710008,873,Surface Water Purchased,8752,Community,Other Residential Area,Local,114403419.7,104422.3109,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Family Farms Water District,NA,876,NA,NA,NA,NA,NA,2937599.033,11308.73584,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Farmers Water District,NA,878,NA,NA,NA,NA,NA,7718027.708,16148.566,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Farmersville  City Of,5410004,879,Groundwater,2489,Community,Residential Area,Local,5487429.142,16835.60824,NA,NA,0,NA,NA,0,NA,NA,1,1,8/30/2007,Kaweah ,9,,,NA,,,,NA
Feather River Canyon Community Services District,NA,882,NA,NA,NA,NA,NA,929953.8482,12004.23308,NA,NA,0,NA,NA,0,NA,NA,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Feather Water District,NA,884,NA,NA,NA,NA,NA,34152997.69,59966.6771,85,5-21.62,0,NA,NA,1,11/8/2005,46,NA,0,NA,NA,NA,,,NA,,,,92
Fern Valley Water District,3310040,886,Surface Water,1178,Community,Other Residential Area,Local,5623890.352,16281.00852,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fiddletown Community Service District,300019,4647,Groundwater,65,Community,Residential Area,Mixed,341021.4571,2355.568297,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fieldbrook Community Service District,1210020,889,Groundwater Purchased,531,Community,Residential Area,Local,34519475.67,33436.09833,NA,NA,0,NA,NA,0,NA,NA,1,1,7/1/2014,North Coast,74,,,NA,,,,NA
Fillmore  City Of,5610002,890,Groundwater,3741,Community,Residential Area,Local,6838929.195,15544.58364,NA,NA,0,NA,NA,0,NA,NA,1,1,11/29/2006,Watersheds Coalition of Ventura County,33,,,NA,,,,NA
Firebaugh  City Of,1010005,894,Groundwater,1642,Community,Residential Area,Local,9297593.38,27084.55347,NA,NA,0,NA,NA,0,NA,NA,1,1,7/9/2014,Westside-San Joaquin,25,,,NA,,,,NA
Firebaugh Canal Water District,NA,895,NA,NA,NA,NA,NA,94281945.31,78649.03826,NA,NA,1,12/5/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Florin County Water District,3410033,902,Groundwater,2322,Community,Residential Area,Local,5884325.112,12275.67202,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Folsom  City Of,3410014,904,Surface Water,19040,Community,Residential Area,Local,77559018,56772.07875,NA,NA,0,NA,NA,1,11/8/2006,NA,1,1,7/11/2013,American River Basin IRWMP,21,,,NA,,,,NA
Foothill Municipal Water District,1910032,909,Surface Water Purchased,19,Community,Wholesaler (Sells Water),Local,56004478.69,82757.98674,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Foothill Water Authority,NA,911,NA,NA,NA,NA,NA,104290.1632,2992.381514,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Foresthill Public Utilities District,3110003,915,Surface Water,1921,Community,Residential Area,Local,53362122.97,60882.38186,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Forestville County Water District,4910019,916,Groundwater Purchased,909,Community,Residential Area,Local,8761711.337,28926.47016,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fort Bragg  City Of,2310001,919,Surface Water,2820,Community,Residential Area,Local,6954024.134,22020.58715,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Fortuna  City Of,1210006,920,Groundwater,4312,Community,Residential Area,Local,13775935.01,33638.07104,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fountain Valley  City Of,3010069,924,Surface Water Purchased,16743,Community,Residential Area,Local,24187343.24,21347.79596,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Fowler  City Of,1010006,929,Groundwater,1784,Community,Residential Area,Local,6794261.105,19293.45207,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fox Canyon Groundwater Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4-4.02,0,NA,NA,1,5/15/2007,NA,1,1,11/29/2006,Watersheds Coalition of Ventura County,33,,,NA,,,,NA
Fox Canyon Groundwater Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,4.28-32,0,NA,NA,1,5/15/2007,NA,1,1,11/29/2006,Watersheds Coalition of Ventura County,33,,,NA,,,,NA
Fox Canyon Groundwater Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,4.28-33,0,NA,NA,1,5/15/2007,NA,1,1,11/29/2006,Watersheds Coalition of Ventura County,33,,,NA,,,,NA
Frazier Park Public Utilities District,1510007,931,Groundwater,1293,Community,Residential Area,Local,3446465.974,9064.123039,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fresno City Of,1010007,934,Surface Water,129348,Community,Residential Area,Local,365655968.4,107686.9605,17,5-22.08,0,NA,NA,1,12/1/2006,59,1,1,10/17/2012,Kings Basin,17,,,NA,,,,600000
Fresno City Of,1010007,934,Surface Water,129348,Community,Residential Area,Local,365655968.4,107686.9605,26,5-22.07,0,NA,NA,1,12/1/2006,59,1,1,10/17/2012,Kings Basin,17,,,NA,,,,600000
Fresno County,1010055,939,Surface Water & Groundwater,2050,Community,Residential Area,Local,540179.7045,3756.643722,17,5-22.08,1,3/11/1997,NA,1,12/1/2006,59,1,1,10/17/2012,Kings Basin,17,,,NA,,,,600000
Fresno County,1010055,939,Surface Water & Groundwater,2050,Community,Residential Area,Local,540179.7045,3756.643722,26,5-22.07,1,3/11/1997,NA,1,12/1/2006,59,1,1,10/17/2012,Kings Basin,17,,,NA,,,,600000
Fresno County Water Works District,1010051,958,Surface Water & Groundwater,1474,Community,Residential Area,Local,1452583.935,5034.432463,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Fresno Irrigation District,NA,961,NA,NA,NA,NA,NA,1002809900,355802.8101,NA,NA,1,8/12/1996,NA,1,12/1/2006,NA,1,1,10/17/2012,Kings Basin,17,,,NA,,,,NA
Fresno Slough Water District,NA,964,NA,NA,NA,NA,NA,5329622.193,18402.66913,26,5-22.07,1,12/5/1997,59,1,7/21/2009,91,1,1,7/9/2014,Westside-San Joaquin,25,,,NA,,,,NA
Fullerton  City Of,3010010,967,Surface Water Purchased,30620,Community,Residential Area,Local,57790947.83,52830.44586,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Galt  City Of,3410011,972,Groundwater,7187,Community,Residential Area,Local,13653736.16,23223.17054,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Galt Irrigation District,NA,973,NA,NA,NA,NA,NA,118696004.6,74034.36623,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Garden Farms Community Water District,NA,976,NA,NA,NA,NA,NA,682817.8857,4937.125801,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Garden Grove  City Of,3010062,977,Surface Water Purchased,33072,Community,Other Area,Local,46908688.12,65021.86636,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Garfield Water District,NA,978,NA,NA,NA,NA,NA,7322113.217,18172.76893,17,5-22.08,0,NA,NA,1,12/1/2006,59,NA,0,NA,NA,NA,,,NA,,,,600000
Garfield Water District,NA,978,NA,NA,NA,NA,NA,7322113.217,18172.76893,26,5-22.07,0,NA,NA,1,12/1/2006,59,NA,0,NA,NA,NA,,,NA,,,,600000
Gasquet Community Service District,800555,983,Surface Water,222,Community,Residential Area,Local,4450377.755,11863.63791,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Georgetown Divide Public Utility District,910013,990,Surface Water,3568,Community,Residential Area,Local,279348712.4,132364.3629,NA,NA,0,NA,NA,0,NA,NA,1,1,5/30/2014,CABY,30,,,NA,,,,NA
Gilroy  City Of,4310004,995,Groundwater,11085,Community,Residential Area,Local,38435879.89,63252.74825,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Glendale  City Of,1910043,1004,Surface Water Purchased,33899,Community,Residential Area,Local,78800973.17,57002.17821,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Glendora  City Of,1910044,1005,Surface Water Purchased,13382,Community,Residential Area,Local,32449620.84,40524.24478,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Glenn County,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,5-21.52,1,2/15/2000,85.5,1,7/31/2012,127,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Glenn County,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,5-21.58,1,2/15/2000,85.5,1,7/31/2012,127,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Glenn Valley Water District,NA,1009,NA,NA,NA,NA,NA,60214.01858,8669.488462,NA,NA,0,NA,NA,0,NA,NA,2,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Glenn-Colusa Irrigation District,NA,1007,NA,NA,NA,NA,NA,11870474.88,361443.2336,61,5-21.51,1,5/26/1995,29,0,NA,NA,2,1,5/14/2014,Northern Sacramento Valley,60,12/12/2006,Sacramento Valley,33,,,,1096
Glenn-Colusa Irrigation District,NA,1007,NA,NA,NA,NA,NA,11870474.88,361443.2336,57,5-21.52,1,5/26/1995,29,0,NA,NA,2,1,5/14/2014,Northern Sacramento Valley,60,12/12/2006,Sacramento Valley,33,,,,1096
Glide Water District,NA,1012,NA,NA,NA,NA,NA,38565851.6,29199.97627,NA,NA,0,NA,NA,0,NA,NA,2,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Gold Mountain Community Services District,3205003,1015,Groundwater,41,Community,Residential Area,Local,5234804.579,11818.71959,NA,NA,0,NA,NA,0,NA,NA,1,1,11/18/2016,Upper Feather River Watershed,36,,,NA,,,,NA
Golden Hills Community Services District,1510045,1019,Groundwater,2804,Community,Residential Area,Local,20113810.32,29086.16532,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Goleta  City Of,NA,1067,NA,NA,NA,NA,NA,20545538.95,38488.63042,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Goleta Water Disrict,4210004,1068,Surface Water,16626,Community,Residential Area,Local,102491906.3,84726.50221,NA,NA,0,NA,NA,1,5/11/2010,NA,1,1,5/1/2007,Santa Barbara County,35,,,NA,,,,NA
Gonzales City Of,2710007,NA,Groundwater,1930,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Grass Valley  City Of,2910001,1076,Surface Water,2311,Community,Residential Area,Local,9605744.358,36951.51048,NA,NA,0,NA,NA,0,NA,NA,1,1,5/30/2014,CABY,30,,,NA,,,,NA
Grassland Water District,NA,1077,NA,NA,NA,NA,NA,211266325.4,159190.3168,NA,NA,0,NA,NA,0,NA,NA,,1,7/9/2014,Westside-San Joaquin,25,,,,,,,NA
Gravelly Ford Water District,NA,1079,NA,NA,NA,NA,NA,33968320.17,36098.58853,6,5-22.06,1,3/9/1998,NA,0,N/A,NA,1,1,4/14/2008,Madera,14,,,NA,,,,22
Green Acres Water Agency,NA,1086,NA,NA,NA,NA,NA,122546.442,1486.799641,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Green Valley County Water District,1910244,1092,Groundwater,499,Community,Residential Area,Local,11995990.91,18065.07593,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Greenfield  City Of,2710008,1093,Groundwater,3520,Community,Residential Area,Local,9104284.773,17361.42831,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Greenfield County Water District,1510024,1094,Groundwater,2660,Community,Residential Area,Local,4177793.412,18532.99834,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Greenhorn Creek Community Services District,3200188,1096,Groundwater,134,Community,Residential Area,Local,964216.9248,6910.554655,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Grenada Irrigation District,NA,1097,NA,NA,NA,NA,NA,7640684.74,26261.00252,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Gridley  City Of,410004,1098,Groundwater,2077,Community,Residential Area,Local,3810587.425,16429.61882,84,5-21.59,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Grizzly Flats Community Service District,910006,1104,Surface Water,575,Community,Residential Area,Local,6803517.293,15270.62073,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Grizzly Lake Resort Improvement District,3200104,1105,Groundwater,330,Community,Residential Area,Local,3768574.042,11314.12087,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,,,NA
Grizzly Ranch Community Service District,3205006,1108,Groundwater,24,Community,Residential Area,Local,4172345.064,9674.237936,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Groveland Community Services District,NA,1109,NA,NA,NA,NA,NA,36638991.07,53717.52473,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2013,Tuolomne-Stanislaus,28,,,NA,,,,NA
Grover Beach  City Of,4010004,1110,Surface Water,5169,Community,Residential Area,Local,5984313.96,12369.63273,NA,NA,0,NA,NA,0,NA,NA,1,1,10/11/2005,San Luis Obispo County,26,,,NA,,,,NA
Guadalupe  City Of,4210003,1112,Surface Water Purchased,1937,Community,Residential Area,Local,3445542.843,14600.24229,NA,NA,0,NA,NA,0,NA,NA,1,1,5/1/2007,Santa Barbara County,35,,,NA,,,,NA
Guadalupe Valley Irrigation District,4110005,1113,Surface Water Purchased,719,Community,Industrial/Agricultural,Local,1691909.077,8005.839841,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Gustine  City Of,2410003,1116,Groundwater,1858,Community,Residential Area,Local,3146495.483,9862.6317,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hacienda Water District,NA,1118,NA,NA,NA,NA,NA,59801788.26,65156.51385,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hallwood Irrigation Company,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,5-21.60,1,3/1/2005,146,1,12/28/2010,108,1,1,2/1/2008,Yuba County,27,,,NA,,,,NA
Hallwood Irrigation District,NA,1121,NA,NA,NA,NA,NA,47042639.63,45950.41511,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2008,Yuba County,27,,,NA,,,,NA
Hamilton Branch Community Service District,3210010,1122,Groundwater,512,Community,Residential Area,Local,2189362.471,14795.96054,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hanford  City Of,1610003,1125,Groundwater,15923,Community,Residential Area,Local,30855971.19,63714.60352,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Happy Camp Community Service District,NA,1126,NA,NA,NA,NA,NA,24299323.89,23209.76904,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Harbor View Water Agency,NA,1128,NA,NA,NA,NA,NA,361469.7869,4548.423102,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hawthorne  City Of,1910047,1142,Surface Water Purchased,6030,Community,Residential Area,Local,6963365.125,17466.45047,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hayward  City Of,110006,1143,Surface Water Purchased,31678,Community,Residential Area,Local,96890210.24,67175.34712,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Healdsburg  City Of,4910005,1144,Groundwater under direct influence,4433,Community,Wholesaler (Sells Water),Local,9096080.458,21600.42321,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Heather Glen Community Service District,NA,4216,NA,NA,NA,NA,NA,870657.6979,5587.702,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Helendale Community Service District,3610112,2893,Groundwater,2808,Community,Residential Area,Local,243115158.9,68236.58635,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Helix Water District,3710010,1154,Surface Water,55734,Community,Other Residential Area,Local,123113426.5,112036.2144,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hemet  City Of,3310016,1157,Groundwater,9112,Community,Other Residential Area,Local,12352764,17943.49504,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Henry Miller Water District,NA,1160,NA,NA,NA,NA,NA,105490294.6,48703.18856,NA,NA,0,NA,NA,0,NA,NA,1,1,11/14/2011,Kern,46,,,NA,,,,NA
Heritage Ranch Community Service District,4010012,1161,Surface Water,1737,Community,Residential Area,Local,21298120.15,22829.7792,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Herlong Public Utility District,1805007,NA,Groundwater,131,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hesperia  City Of,NA,1165,NA,NA,NA,NA,NA,186646362.1,97124.18485,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hesperia Water District,3610024,1166,Groundwater,28210,Community,Residential Area,Local,186650303.6,97126.92812,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hi Desert Water District,3610073,1167,Groundwater,10512,Community,Residential Area,Local,133678721.1,76867.11561,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hidden Valley Lake Community Service District,1710015,1172,Groundwater,2462,Community,Residential Area,Local,7795421.467,17610.77519,NA,NA,0,NA,NA,0,NA,NA,1,1,7/2/2014,Westside Sacramento,15,,,NA,,,,NA
Hidden Valley Municipal Utility District,NA,1173,NA,NA,NA,NA,NA,19232766.25,22351.11934,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hidden Valley Water Authority,NA,1174,NA,NA,NA,NA,NA,348122.2043,5311.095327,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hills Valley Irrigation District,NA,1180,NA,NA,NA,NA,NA,17523620.61,34837.2293,NA,NA,1,10/27/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hillsborough  Town Of,4110016,1181,Surface Water Purchased,4269,Community,Residential Area,Local,16171827.11,25650.81006,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hilmar County Water District,2410012,1183,Groundwater,1570,Community,Residential Area,Local,3077682.669,8177.60043,NA,NA,1,10/14/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hollister  City Of,3510001,1188,Surface Water Purchased,6117,Community,Residential Area,Local,14552749.09,55170.60255,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Holthouse Water District,NA,1190,NA,NA,NA,NA,NA,306777.7961,10208.66992,NA,NA,0,NA,NA,0,NA,NA,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Holtville  City Of,1310005,1191,Surface Water Purchased,1473,Community,Residential Area,Local,9334380.149,20250.98597,NA,NA,0,NA,NA,0,NA,NA,1,1,10/1/2012,Imperial,9,,,NA,,,,NA
Home Garden Community Service District,1610007,NA,Groundwater,490,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Home Gardens County Water District,3310018,NA,Surface Water Purchased,822,Community,Other Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hometown Water Association,NA,1194,NA,NA,NA,NA,NA,60199.37407,1028.593119,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hood Water Maintenance District,3400101,1196,Groundwater,30,Community,Residential Area,Local,921605.6118,4038.031571,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hopland Public Utility District,2310010,1197,Groundwater,326,Community,Residential Area,Local,2980668.719,17200.97459,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hornbrook Community Service District,4700513,1198,Surface Water,141,Community,Residential Area,Local,3591193.244,9756.496586,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Horsefly Irrigation District,NA,1200,NA,NA,NA,NA,NA,70039466.09,124146.4396,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hot Springs Valley Irrigation District,NA,1202,NA,NA,NA,NA,NA,61814982.51,147165.1811,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hughson  City Of,5010008,1208,Groundwater,1806,Community,Residential Area,Local,4725185.595,11782.75284,NA,NA,1,10/14/1997,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Humboldt Bay Municipal Water District,NA,1209,NA,NA,NA,NA,NA,876039607.5,168283.0151,NA,NA,0,NA,NA,1,4/1/2006,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Humboldt Community Services District,1210009,1210,Groundwater,7357,Community,Residential Area,Local,41914151.4,97047.26614,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Hunter Valley Community Service District,800557,1214,Groundwater,65,Community,Residential Area,Local,183821.4144,1777.439983,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Huntington Beach  City Of,3010053,1215,Surface Water Purchased,52697,Community,Other Area,Local,68055876.72,54066.21895,NA,NA,0,NA,NA,0,NA,NA,1,1,2/1/2011,North Orange County,33,,,NA,,,,NA
Huntington Park City Of,1910049,1217,Surface Water Purchased,5550,Community,Residential Area,Local,6326048.737,15872.29382,NA,NA,0,NA,NA,0,NA,NA,1,1,6/13/2007,Gateway,29,,,NA,,,,NA
Huron  City Of,1010044,1218,Surface Water,908,Community,Residential Area,Local,3354244.966,9712.185695,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Hydesville Community Water District,1210019,1219,Groundwater,395,Community,Other Area,Local,7580399.57,15709.77904,NA,NA,0,NA,NA,0,NA,NA,1,1,8/1/2014,North Coast,74,,,NA,,,,NA
Idyllwild Water District,3310019,1223,Groundwater,1630,Community,Residential Area,Local,9700346.82,24027.63313,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Igo - Ono Community Services District,NA,1224,NA,NA,NA,NA,NA,755962.8378,38308.30109,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Imperial  City Of,1310006,1225,Surface Water Purchased,4234,Community,Other Residential Area,Local,16971973.5,22381.14805,NA,NA,0,NA,NA,0,NA,NA,1,1,10/1/2012,Imperial,9,,,NA,,,,NA
Imperial Irrigation District,1300591,1226,Groundwater,8,Community,Residential Area,Local,4050544111,585039.0536,NA,NA,0,NA,NA,0,NA,NA,1,1,10/1/2012,Imperial,9,,,NA,,,,NA
Indian Creek Community Service District,1410005,NA,Groundwater,294,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
